institution,unitid,year,enrollment_total,admission_rate,retention_rate_ft,grad_rate_150,tuition_fees,avg_net_price
Berklee College of Music,164748,2012,4447,43.25,96.13,59.62,36490,41798
New England Conservatory,167057,2012,419,29.52,98.85,82.67,38455,37800
The Juilliard School,192110,2012,508,7.16,98.02,91.67,35140,26587
Manhattan School of Music,192712,2012,391,36.95,85.71,79.01,35140,34960
Curtis Institute of Music,211893,2012,125,11.07,95.65,100.0,2350,11546
Berklee College of Music,164748,2013,4402,36.17,82.01,49.63,37586,43018
New England Conservatory,167057,2013,410,27.77,93.94,85.88,39955,35849
The Juilliard School,192110,2013,498,7.34,94.44,87.74,36720,28537
Manhattan School of Music,192712,2013,377,34.31,89.53,72.13,36500,37813
Curtis Institute of Music,211893,2013,122,4.84,89.29,100.0,2425,2584
Berklee College of Music,164748,2014,4743,40.38,83.59,48.74,38910,46351
New England Conservatory,167057,2014,389,29.14,92.47,87.5,41405,40060
The Juilliard School,192110,2014,509,8.43,98.17,83.9,38190,28268
Manhattan School of Music,192712,2014,389,44.82,81.48,71.84,37750,37753
Curtis Institute of Music,211893,2014,132,5.05,100.0,53.85,2475,8171
Berklee College of Music,164748,2015,5112,28.81,86.8,56.35,40082,48310
New England Conservatory,167057,2015,377,32.39,87.67,84.26,43055,36531
The Juilliard School,192110,2015,489,6.43,97.67,92.16,39720,28564
Manhattan School of Music,192712,2015,410,46.07,92.04,78.75,42600,36912
Curtis Institute of Music,211893,2015,130,4.44,100.0,86.36,2525,7393
Berklee College of Music,164748,2016,5972,33.84,83.63,61.34,41398,45107
New England Conservatory,167057,2016,387,35.43,89.53,81.25,44755,37292
The Juilliard School,192110,2016,499,6.17,96.33,92.37,41310,27715
Manhattan School of Music,192712,2016,457,46.27,93.07,100.0,44600,44554
Curtis Institute of Music,211893,2016,131,4.21,95.0,68.42,2525,11408
Berklee College of Music,164748,2017,6197,52.52,83.82,64.03,42750,47270
New England Conservatory,167057,2017,413,32.81,92.5,79.57,46930,37507
The Juilliard School,192110,2017,486,5.92,92.92,95.05,43170,35019
Manhattan School of Music,192712,2017,488,42.87,96.15,69.39,44600,46324
Curtis Institute of Music,211893,2017,131,3.3,100.0,78.26,2675,15598
Berklee College of Music,164748,2018,6332,47.64,85.27,63.57,44140,48425
New England Conservatory,167057,2018,445,36.47,91.67,85.0,48750,43712
The Juilliard School,192110,2018,487,7.62,96.36,87.96,45110,29511
Manhattan School of Music,192712,2018,511,37.84,88.7,77.91,47300,45952
Curtis Institute of Music,211893,2018,130,4.55,100.0,64.29,2900,18232
Berklee College of Music,164748,2019,6338,51.44,86.04,65.18,45660,49514
New England Conservatory,167057,2019,475,36.94,90.74,80.65,50460,43830
The Juilliard School,192110,2019,486,6.88,95.04,96.33,47370,33535
Manhattan School of Music,192712,2019,518,35.54,90.43,87.65,49130,54902
Curtis Institute of Music,211893,2019,131,3.93,100.0,68.97,2900,17668
Berklee College of Music,164748,2020,5951,51.6,74.92,65.13,45660,46805
New England Conservatory,167057,2020,386,36.27,82.05,70.67,52440,46080
The Juilliard School,192110,2020,492,7.64,93.97,93.75,49260,37537
Manhattan School of Music,192712,2020,497,41.56,97.39,74.34,49270,19111
Curtis Institute of Music,211893,2020,113,2.44,100.0,84.62,3015,10097
Berklee College of Music,164748,2021,7126,55.17,82.03,66.96,46800,45467
New England Conservatory,167057,2021,405,43.28,91.46,82.56,53730,29481
The Juilliard School,192110,2021,487,7.43,96.0,87.16,51230,37344
Manhattan School of Music,192712,2021,489,48.99,85.95,72.32,50840,47969
Curtis Institute of Music,211893,2021,109,4.8,90.0,80.95,5015,19937
Berklee College of Music,164748,2022,7395,54.23,83.97,68.59,48330,49230
New England Conservatory,167057,2022,363,37.55,92.86,80.99,55910,32148
The Juilliard School,192110,2022,476,10.61,99.09,89.29,52500,41024
Manhattan School of Music,192712,2022,503,55.01,86.78,79.19,52550,51067
Curtis Institute of Music,211893,2022,103,9.66,100.0,83.33,5930,27946
